"split","audio_id","text","reference_audio_id"
"train","001","今天的天气很好，适合出去散步。","wavs/031.wav"
"train","002","请把窗户打开，让空气流通一下。","wavs/031.wav"
"train","003","我已经把今天的任务完成了。","wavs/031.wav"
"train","004","他正在认真阅读一本专业书籍。","wavs/031.wav"
"train","005","我们下午三点准时开会。","wavs/031.wav"
"train","006","今天的工作比昨天轻松一些。","wavs/031.wav"
"train","007","我准备晚上去操场跑步。","wavs/031.wav"
"train","008","早餐一定要按时吃。","wavs/031.wav"
"train","009","请记得带上学生证。","wavs/031.wav"
"train","011","电脑运行速度越来越快。","wavs/031.wav"
"train","012","今天路上的车有点多。","wavs/031.wav"
"train","013","外面的风比昨天大一些。","wavs/031.wav"
"train","014","图书馆里非常安静。","wavs/031.wav"
"train","015","这杯咖啡味道不错。","wavs/031.wav"
"train","016","今天完成了很多事情。","wavs/031.wav"
"train","017","我准备开始新的实验。","wavs/031.wav"
"train","018","请把文件保存好。","wavs/031.wav"
"train","019","明天可能会下雨。","wavs/031.wav"
"train","021","他正在认真学习。","wavs/031.wav"
"train","022","今天的效率很高。","wavs/031.wav"
"train","023","我喜欢安静的环境。","wavs/031.wav"
"train","024","请注意安全。","wavs/031.wav"
"train","025","会议已经正式开始。","wavs/031.wav"
"train","026","实验结果符合预期。","wavs/031.wav"
"train","027","大家正在讨论新的方案。","wavs/031.wav"
"train","028","今天感觉状态很好。","wavs/031.wav"
"train","029","这份报告已经完成。","wavs/031.wav"
"train","031","如果时间允许，我们下午一起去实验室继续完成模型训练。","wavs/031.wav"
"train","032","今天的数据已经全部整理完成，接下来可以开始模型微调。","wavs/031.wav"
"train","033","为了保证实验结果可靠，每一步操作都需要认真记录。","wavs/031.wav"
"train","034","新模型相比基线模型取得了更加稳定的实验结果。","wavs/031.wav"
"train","035","我们需要进一步分析实验数据，再决定下一步优化方向。","wavs/031.wav"
"train","036","训练过程中需要持续观察损失函数是否正常下降。","wavs/031.wav"
"train","037","高质量的数据通常比复杂的模型结构更加重要。","wavs/031.wav"
"train","038","在正式开始训练之前，请再次检查所有配置文件。","wavs/031.wav"
"train","039","如果发现异常情况，请及时保存日志并重新开始实验。","wavs/031.wav"
"train","041","我们计划明天继续进行模型测试和性能评估。","wavs/031.wav"
"train","042","数据质量往往决定模型最终能够达到的效果。","wavs/031.wav"
"train","043","一个优秀的语音模型不仅需要准确，还需要自然流畅。","wavs/031.wav"
"train","044","任何一个细小的数据错误都有可能影响最终实验结果。","wavs/031.wav"
"train","045","我们最终希望实现更加自然的个性化语音合成。","wavs/031.wav"
"train","046","你今天感觉怎么样？","wavs/031.wav"
"train","047","我们什么时候开始训练？","wavs/031.wav"
"train","048","这份数据已经检查过了吗？","wavs/031.wav"
"train","049","还有其他需要修改的地方吗？","wavs/031.wav"
"train","051","今天为什么这么安静？","wavs/031.wav"
"train","052","实验已经全部结束了吗？","wavs/031.wav"
"train","053","我们明天几点集合？","wavs/031.wav"
"train","054","需要我帮忙吗？","wavs/031.wav"
"train","055","这个结果正常吗？","wavs/031.wav"
"train","056","太好了！","wavs/031.wav"
"train","057","真漂亮！","wavs/031.wav"
"train","058","今天效率真高！","wavs/031.wav"
"train","059","终于成功了！","wavs/031.wav"
"train","061","太令人惊喜了！","wavs/031.wav"
"train","062","真是不容易！","wavs/031.wav"
"train","063","今天过得真快！","wavs/031.wav"
"train","064","太精彩了！","wavs/031.wav"
"train","065","终于完成了！","wavs/031.wav"
"train","066","今天是二零二六年七月十九日。","wavs/031.wav"
"train","067","会议将在下午三点开始。","wavs/031.wav"
"train","068","请等待五分钟。","wavs/031.wav"
"train","069","总共有一百二十七个样本。","wavs/031.wav"
"train","071","我已经跑了三公里。","wavs/031.wav"
"train","072","这个模型训练了二十个小时。","wavs/031.wav"
"train","073","文件大小约为一点五吉字节。","wavs/031.wav"
"train","074","今天需要完成四项任务。","wavs/031.wav"
"train","075","请输入六位验证码。","wavs/031.wav"
"train","076","人工智能正在快速发展。","wavs/031.wav"
"train","077","我们开始训练新的语音模型。","wavs/031.wav"
"train","078","深度学习已经广泛应用于计算机视觉。","wavs/031.wav"
"train","079","大语言模型能够理解复杂文本。","wavs/031.wav"
"train","081","语音合成需要高质量的数据支持。","wavs/031.wav"
"train","082","模型正在加载参数。","wavs/031.wav"
"train","083","GPU开始进行训练。","wavs/031.wav"
"train","084","推理速度明显提高了。","wavs/031.wav"
"train","085","实验结果已经保存。","wavs/031.wav"
"train","086","我们继续优化模型性能。","wavs/031.wav"
"train","087","数据增强能够提高模型泛化能力。","wavs/031.wav"
"train","088","微调后的音色更加自然。","wavs/031.wav"
"train","089","模型已经完成收敛。","wavs/031.wav"
"train","091","银行今天正常营业。","wavs/031.wav"
"train","092","他把门关上了。","wavs/031.wav"
"train","093","这个地方非常重要。","wavs/031.wav"
"train","094","音乐已经开始播放。","wavs/031.wav"
"train","095","她长得很漂亮。","wavs/031.wav"
"train","096","请把重量记录下来。","wavs/031.wav"
"train","097","我们一起研究这个问题。","wavs/031.wav"
"train","098","他正在快乐地成长。","wavs/031.wav"
"train","099","今天的空气质量很好。","wavs/031.wav"
"train","101","麦克总是以各种理由推脱。","wavs/031.wav"
"train","102","张蕊说，外公还特别喜欢逛街，经常到春熙路逛。","wavs/031.wav"
"train","103","这个网吧位于凯里市清平南路一个桥洞之下。","wavs/031.wav"
"train","104","生物柴油公司，收购的就是这种油。","wavs/031.wav"
"train","105","日前，利辛县望疃镇农民在浇灌麦田。","wavs/031.wav"
"train","106","就哄着乐乐，乐乐也安静下来了，并没有出现任何症状。","wavs/031.wav"
"train","107","在他看来，现在首要问题是怎么保存牛黄。","wavs/031.wav"
"train","108","越深的海底生物就越少哦！","wavs/031.wav"
"train","109","但按这个说法，张雨绮立刻从“被甩方”变成了“劈腿方”。","wavs/031.wav"
"train","111","雅典称王的韩国小子柳承敏有望创造历史吗？","wavs/031.wav"
"train","112","到偏桥底村看了后，情况还不是这样。","wavs/031.wav"
"train","113","我是大方温柔的巨蟹座，有时候也会有点敏感和脆弱。","wavs/031.wav"
"train","114","山东省招远市市委书记徐少宁，就是他们的突出代表。","wavs/031.wav"
"train","115","能不能让不同时产的甲鱼卵同时孵化出壳呢？","wavs/031.wav"
"train","116","农民工于占水称，这老农民挣俩钱也真不易呀，这也不给呀。","wavs/031.wav"
"train","117","风险也是浪漫的一部分吗？","wavs/031.wav"
"train","118","其中，大部分随迁子女面临高考难题。","wavs/031.wav"
"train","119","全市继续推进爱国卫生运动，大力开展灭蚊工作。","wavs/031.wav"
"train","121","甘迪勒没有说明这些示威者由哪方收买。","wavs/031.wav"
"train","122","摄影师没有手，就像赛跑者没有脚，令人气馁。","wavs/031.wav"
"train","123","咪咪舔着孩子，把它身上的毛舔干净。","wavs/031.wav"
"train","124","罗天诚低声说深沉是无法伪装的。","wavs/031.wav"
"train","125","法院调查表明，被砍死的医生并未接诊过凶手。","wavs/031.wav"
"train","126","随后男子竟在众目睽睽之下吮吸鸵鸟血液。","wavs/031.wav"
"train","127","同年，普洱冷水林场采伐开工。","wavs/031.wav"
"train","128","林欣彤频频吸金，笑到眼睛都眯起来。","wavs/031.wav"
"train","129","回万岁，包拯不就在这儿吗？八贤王指着不知所措的包拯道。","wavs/031.wav"
"train","131","对于反对派，我一直觉得他们很肮脏。","wavs/031.wav"
"train","132","跑了三十多米自己也熏到了。","wavs/031.wav"
"train","133","他还表示，贝卢斯科尼这个“傀儡必须滚蛋”。","wavs/031.wav"
"train","134","作为小舅子的我去劝架，果然有用！","wavs/031.wav"
"train","135","楼市降价的豁口未现，但暗流已经汹涌。","wavs/031.wav"
"train","136","也会在纽约逛逛，看看衣服。","wavs/031.wav"
"train","137","有时在商圈请个棒棒都难。","wavs/031.wav"
"train","138","他先向我丢过一个飞吻来，如果不把它丢回去，难道您还让我留着它不成？","wavs/031.wav"
"train","139","拨了一上午，头寸还没谱。","wavs/031.wav"
